epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,seconds
1,0.5066372849767561,0.830502281198125,0.3150089908088211,0.8907215595245361,0.8898471800571293,116.57472962141037
2,0.35956618935655404,0.895868786736686,0.2723933172550507,0.9083012938499451,0.9079734903176672,116.35583088174462
3,0.3105281659344401,0.9156844116388085,0.2494731391433963,0.9141891002655029,0.9137933035277824,116.6549478136003
4,0.27616167761026145,0.9297892110290971,0.2663388692647721,0.9151077270507812,0.9149208668455301,115.57752270624042
5,0.24731740049139084,0.9413257049789628,0.2480101135291977,0.9197845458984375,0.9199286910605395,115.58184625580907
6,0.2221230376238511,0.951296159026132,0.2404901123224086,0.9248371720314026,0.924840677260647,115.30149354413152
7,0.19841535866594076,0.9609012037626719,0.24969518486318912,0.925045907497406,0.9248220181604867,115.83139635249972
8,0.18023115290399472,0.9682615913053465,0.2546481108135824,0.9239184856414795,0.9237392952162821,115.12921811640263
9,0.16484295413724617,0.9742960650637378,0.2631816131375321,0.9252547025680542,0.9250316106790762,115.71832574903965
10,0.15290857194259885,0.9790881471659898,0.2745014552045032,0.9259228110313416,0.9257726634270426,115.482859890908
11,0.1461627568296278,0.9814058862219809,0.2826089319012809,0.9254217743873596,0.9252437670285776,116.23585171252489
12,0.14243717928488717,0.9831702911790192,0.2817431112770965,0.9249206781387329,0.924786560902422,115.54662474989891
