epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,seconds
1,0.5033560138454887,0.8349462870744464,0.32509035128954455,0.8887821435928345,0.8890949019670327,116.23827240988612
2,0.3579096341712568,0.8965204046478124,0.2658916572802767,0.9100818634033203,0.909674935443106,114.23323300853372
3,0.3081141077281874,0.917525342687421,0.256985751355009,0.9143418073654175,0.9139156429368929,114.85100629553199
4,0.274432215417925,0.9303976531262071,0.23900331560282098,0.9207317233085632,0.9205216614216235,115.54469471797347
5,0.24429872173139294,0.9419754246400869,0.2398816082256915,0.9210658073425293,0.9208130059550257,115.3453876748681
6,0.22039011582390422,0.9511520352448662,0.2585589000703179,0.9179335236549377,0.9177356572666934,116.00630600377917
7,0.19692173607306185,0.9617067034148684,0.2685387895292874,0.9204393625259399,0.9201029002205635,118.7646038942039
8,0.1779068758497919,0.9687953480117344,0.25131624580584677,0.9250751733779907,0.9247658012338892,116.95384193211794
9,0.16286550870263372,0.9751323248457515,0.26482288916295005,0.9244487285614014,0.9242647938645562,115.51792130991817
10,0.15043084336395945,0.9801330034347041,0.27395999626774,0.9231957793235779,0.9230120740005631,115.72818455472589
11,0.14289674316664605,0.9830874753359016,0.2751792709523923,0.9257851839065552,0.925644733607856,116.84874930605292
12,0.1392279193352881,0.9841418981698978,0.27798534913322737,0.9255346059799194,0.9253949438345406,116.19673977792263
