epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,seconds
1,0.5097945868151302,0.8303614306892447,0.30061235584926943,0.8935477137565613,0.892690269854814,117.03426222130656
2,0.3613083808478541,0.8950472929238094,0.2621889501181543,0.9092921018600464,0.9091272567663431,115.76771260797977
3,0.313098681386115,0.9147996575699998,0.2483747366413639,0.9167258143424988,0.9164119209607784,116.0138490460813
4,0.2771049027174809,0.9295826112375504,0.23434600606980766,0.9214032292366028,0.9214322720140036,115.36647037789226
5,0.24756831350523523,0.9409934645981668,0.23683801070680247,0.9240342378616333,0.923769451881104,115.61159217357635
6,0.2211426690510499,0.9509427264944773,0.23707166421784318,0.9259970784187317,0.9258614493888432,115.60809476301074
7,0.1992157789599168,0.9596809554632201,0.2427871095534281,0.9223637580871582,0.9222616175335527,115.58918134123087
8,0.18159178790107414,0.9669784728457186,0.24916636318895607,0.9239089488983154,0.9239186925272812,115.50080263614655
9,0.16511387602398633,0.9739941118743867,0.2537844304402205,0.9279181361198425,0.9279395529714674,115.32549094036222
10,0.15384976511451562,0.9788800033407805,0.26413224181170053,0.9281269311904907,0.9280063845094795,115.37530544027686
11,0.14523496332018337,0.9818449460255152,0.2724433773057798,0.9271664023399353,0.9270626120189318,115.35536774620414
12,0.1421387762528536,0.9829724594408369,0.2731448517839653,0.9269158244132996,0.9268389057326166,114.96096286177635
