epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,seconds
1,0.5116790362658354,0.8285917125168349,0.3100288617893673,0.8920577764511108,0.8923549328353844,116.78555553406477
2,0.3593536806607136,0.8952841318396793,0.27988439444679636,0.9047102332115173,0.9042077935400991,116.41867942363024
3,0.3116526917080031,0.9142227743962916,0.2526224562296271,0.9171538352966309,0.9170439400450315,115.65995752438903
4,0.2767247051925004,0.9292358769301442,0.2516376166609904,0.9166527390480042,0.9164598573642334,115.59695231169462
5,0.24680887620860748,0.9420669638662393,0.24344110051090656,0.9202438592910767,0.9203647001452645,115.80219973996282
6,0.221961159634593,0.9514214422183477,0.2543424992150569,0.9195757508277893,0.9194626573429302,116.28931336477399
7,0.198593272889707,0.9605149139200067,0.24810763171833386,0.9225404858589172,0.922332624396983,116.33321578800678
8,0.17921981102251625,0.96850171742376,0.25947980464988185,0.923960268497467,0.9238563157782409,116.39200009033084
9,0.16451830125601288,0.9746197133102952,0.27256707203732683,0.9232503771781921,0.9231619778833087,115.78627229854465
10,0.152855343477831,0.9791507887620977,0.2772239973718502,0.9235844612121582,0.9235375628605128,114.69397596642375
11,0.145140673808049,0.9824081517597069,0.2807405607836143,0.9248788952827454,0.9247456902199407,115.33274375274777
12,0.14217046592763588,0.9832955743712349,0.2837037821920224,0.9246701002120972,0.9245827128499443,115.45427479967475
