epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,seconds
1,0.5091861561521792,0.8314141045048807,0.33674103269912165,0.8786436319351196,0.8767271575951673,116.02634152024984
2,0.35642103370336053,0.8959231612465417,0.2828013561034396,0.9044516682624817,0.9042764461489521,115.68913707137108
3,0.307274735928789,0.9172730594560735,0.28057879106593014,0.9095882177352905,0.9090705361110507,115.62975658476353
4,0.27426281186868745,0.9301873988620347,0.23905797977400914,0.9201536774635315,0.9199037116822727,118.27341317385435
5,0.2436785400651184,0.9433209792765047,0.2455016757216677,0.9215317964553833,0.9213035728548625,118.3121491856873
6,0.21966223189979753,0.9518713786083416,0.2525892892529928,0.9238703846931458,0.923732069546993,117.67558894306421
7,0.1992644664990091,0.9603173774599363,0.2525609869596744,0.9242461919784546,0.9239460581271485,117.18037720024586
8,0.18112581604463096,0.9673226496841886,0.256271699710574,0.9269189238548279,0.9265865172534962,118.39910293370485
9,0.16327981273069284,0.9744427624367072,0.2693613776062043,0.9234110116958618,0.9232244603508394,117.58964396640658
10,0.15173678114413655,0.9791721041916793,0.2685775288478614,0.9258331060409546,0.9255889450899628,117.02455450966954
11,0.1440485448546709,0.9822727984548729,0.2774264594421922,0.9259166717529297,0.9257818900008307,116.9176280759275
12,0.13985055785805273,0.9841833272433054,0.28028052398628645,0.9259166717529297,0.9257626397702412,117.57421046122909
