epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,learning_rate,seconds
1,0.3167939743491209,0.8827394598464252,0.19143016894060866,0.9402673244476318,0.9403380551112922,1.1968015665796344e-05,560.585043720901
2,0.15984529250172513,0.9482345722150728,0.18496035618292062,0.9436089992523193,0.9434300902151279,7.978677110530897e-06,559.171491522342
3,0.12251912212498212,0.961350639610694,0.18067740726789636,0.9494569897651672,0.949288414411426,3.9893385552654485e-06,556.413590554148
4,0.09615674942934858,0.9704526279008326,0.18284465341440517,0.9494569897651672,0.9493761332574265,0.0,554.9764265678823
