epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_f1,seconds
1,0.8231030963451731,0.6655807037338693,0.30057070374887107,0.9077886939048767,0.9071469832515877,7.197384979575872
2,0.3483817925964766,0.9444066682109259,0.26886316809930044,0.9186468720436096,0.9186792075561954,6.310956470668316
3,0.291529528233992,0.9666664175925995,0.2527916868386674,0.9236166477203369,0.923717396559957,6.507791448384523
4,0.26100224888018586,0.9792870005753611,0.25465434265612164,0.9223219752311707,0.9222337987591385,6.446724180132151
5,0.23905365491669822,0.9880668614425872,0.2727173097461219,0.9200250506401062,0.9199183276949409,6.726414423435926
6,0.22639433152341826,0.9930807224144244,0.2794715393333849,0.9194821715354919,0.9194896555620251,6.405202232301235
7,0.21964797656972698,0.9958529167818634,0.28951988494777064,0.9177281260490417,0.917683037065613,6.277049321681261
